market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,delivery_time_minutes,order_hour,order_day_of_week,order_is_weekend,hour_sin,hour_cos,price_range,avg_item_price,items_per_distinct,busy_partner_ratio,available_partners,outstanding_per_partner
1,2015-01-23 17:42:14,2015-01-23 18:49:03,31bd51a7403b980bf1039518120712e0,mexican,1,1,799.0,1,799,799,2.0,2.0,6.0,66.81666666666666,17,4,0,-0.9659258262890683,-0.25881904510252063,0,799.0,1.0,0.6666666666666666,0.0,2.0
5,2015-02-11 02:52:37,2015-02-11 03:35:50,02c27682b80b462437ba4efc71267562,indian,1,6,3644.0,5,249,1499,49.0,30.0,47.0,43.21666666666667,2,2,0,0.49999999999999994,0.8660254037844387,1250,607.3333333333334,1.2,0.6,19.0,0.94
3,2015-01-29 21:44:08,2015-01-29 22:20:36,08e5d8066881eab185d0de9db3b36c7f,thai,1,7,5220.0,7,250,995,4.0,3.0,3.0,36.46666666666667,21,3,0,-0.7071067811865477,0.7071067811865474,745,745.7142857142857,1.0,0.6,1.0,0.6
1,2015-02-03 02:29:20,2015-02-03 03:54:15,c08876cb72b043bfbd2009cb2f0ecbf5,chinese,2,2,1298.0,2,399,799,0.0,0.0,0.0,84.91666666666667,2,1,0,0.49999999999999994,0.8660254037844387,400,649.0,1.0,0.0,0.0,0.0
4,2015-01-30 04:09:31,2015-01-30 04:48:53,cd89fef7ffdd490db800357f47722b20,american,3,2,1700.0,2,850,850,87.0,82.0,113.0,39.36666666666667,4,4,0,0.8660254037844386,0.5000000000000001,0,850.0,1.0,0.9318181818181818,5.0,1.2840909090909092
2,2015-02-09 02:17:26,2015-02-09 03:30:13,801a089759389ea9fa5f77ecc339f4be,italian,1,5,5390.0,4,695,1495,57.0,55.0,83.0,72.78333333333333,2,0,0,0.49999999999999994,0.8660254037844387,800,1078.0,1.25,0.9482758620689655,2.0,1.4310344827586208
2,2015-02-14 04:47:29,2015-02-14 05:38:48,ec26dcdc2dd4deebfc38610ebe2ef318,pizza,3,1,2999.0,1,2999,2999,55.0,53.0,103.0,51.31666666666667,4,5,1,0.8660254037844386,0.5000000000000001,0,2999.0,1.0,0.9464285714285714,2.0,1.8392857142857142
2,2015-01-26 19:48:22,2015-01-26 20:03:17,d43ab110ab2489d6b9b2caa394bf920f,mexican,5,1,699.0,1,699,699,38.0,57.0,51.0,14.916666666666666,19,0,0,-0.9659258262890684,0.2588190451025203,0,699.0,1.0,1.4615384615384615,0.0,1.3076923076923077
4,2015-02-11 01:12:53,2015-02-11 01:32:21,1a3650aedfdd3a21444047ed2d89458f,dessert,2,1,736.0,1,638,588,55.0,40.0,59.0,19.466666666666665,1,2,0,0.25881904510252074,0.9659258262890683,-50,736.0,1.0,0.7142857142857143,15.0,1.0535714285714286
3,2015-01-22 01:49:41,2015-01-22 02:35:11,8d917ee2013f097c962fa85297f0ffea,other,5,2,1697.0,2,399,999,18.0,18.0,20.0,45.5,1,3,0,0.25881904510252074,0.9659258262890683,600,848.5,1.0,0.9473684210526315,0.0,1.0526315789473684
1,2015-02-04 01:03:43,2015-02-04 02:00:55,ca75910166da03ff9d4655a0338e6b09,mexican,3,6,4500.0,3,300,1900,7.0,7.0,10.0,57.2,1,2,0,0.25881904510252074,0.9659258262890683,1600,750.0,2.0,0.875,0.0,1.25
5,2015-01-24 02:34:37,2015-01-24 03:30:50,a8caec1eeb9c042bae95680a60789701,dessert,4,7,763.0,3,109,109,22.0,21.0,29.0,56.21666666666667,2,5,1,0.49999999999999994,0.8660254037844387,0,109.0,2.3333333333333335,0.9130434782608695,1.0,1.2608695652173914
1,2015-02-10 03:39:52,2015-02-10 04:51:28,55c567fd4395ecef6d936cf77b8d5b2b,other,1,1,894.0,1,894,894,0.0,0.0,0.0,71.6,3,1,0,0.7071067811865475,0.7071067811865476,0,894.0,1.0,0.0,0.0,0.0
1,2015-01-29 00:12:07,2015-01-29 01:24:40,8c3c27ac7d298331a1bdfd0a5e8703d3,american,2,3,2150.0,3,300,1200,10.0,9.0,7.0,72.55,0,3,0,0.0,1.0,900,716.6666666666666,1.0,0.8181818181818182,1.0,0.6363636363636364
1,2015-02-16 23:44:19,2015-02-17 00:44:16,5cce8dede893813f879b873962fb669f,american,5,2,2390.0,2,1095,1295,14.0,14.0,19.0,59.95,23,0,0,-0.25881904510252157,0.9659258262890681,200,1195.0,1.0,0.9333333333333333,0.0,1.2666666666666666
